Treatment,Treatment_Exposure,Eel,Rotation_Bout,Rotation_Duration,Opercular_Passes,Opercular_Passes/2,Rotation_Second,Notes
Large,1,Bill,2,1.318,4,2,1.517450683,
Large,1,Bill,3,1.652,5,2.5,1.513317191,
Large,2,Bill,1,1.421,4,2,1.407459536,
Large,2,Bill,2,2.726,6,3,1.100513573,
Large,2,Bill,3,0.869,2,1,1.150747986,
Large,2,Bill,4,1.656,4,2,1.207729469,
Large,2,Bill,5,1.722,4,2,1.161440186,
Large,3,Bill,1,1.317,3,1.5,1.138952164,
Large,3,Bill,2,0.967,5,2.5,2.585315408,
Large,3,Bill,3,1.21,4,2,1.652892562,
Large,3,Bill,4,1.6,4,2,1.25,
Large,3,Bill,5,1.284,2,1,0.778816199,
Large,3,Bill,6,14.002,46,23,1.642622483,
Large,3,Bill,7,1.367,5,2.5,1.828822238,
Small,1,Eelvis,1,3.452,2,1,0.289687138,
Small,1,Eelvis,2,10.103,5,2.5,0.247451252,
Small,1,Eelvis,3,3.852,2,1,0.2596054,
Small,1,Eelvis,4,5.552,5,2.5,0.450288184,
Small,1,Eelvis,5,1.934,2,1,0.517063082,
Small,2,Eelvis,1,1.733,2,1,0.577034045,
Small,2,Eelvis,2,3.766,3,1.5,0.398300584,
Small,2,Eelvis,3,1.033,1,0.5,0.484027106,
Small,2,Eelvis,4,2.866,3,1.5,0.52337753,
Small,2,Eelvis,5,3.55,4,2,0.563380282,
Small,2,Eelvis,6,3.5,1,0.5,0.142857143,
Small,2,Eelvis,7,5.53,6,3,0.542495479,
Small,2,Eelvis,8,0.683,1,0.5,0.732064422,
Medium,1,Eelvis,1,3.996,4,2,0.500500501,
Medium,1,Eelvis,2,3.143,4,2,0.636334712,
Medium,1,Eelvis,3,4.915,3,1.5,0.305188199,
Medium,1,Eelvis,4,3.511,4,2,0.56963828,
Medium,1,Eelvis,5,3.277,4,2,0.610314312,
Medium,1,Eelvis,6,16.352,37,18.5,1.131360078,
Medium,1,Eelvis,NA,NA,NA,NA,NA,
Medium,2,Eelvis,1,1.001,3,1.5,1.498501499,
Medium,2,Eelvis,2,9.747,5,2.5,0.256489176,
Medium,2,Eelvis,3,8.511,9,4.5,0.528727529,
Medium,2,Eelvis,4,3.746,4,2,0.53390283,
Medium,2,Eelvis,5,8.501,6,3,0.352899659,
Medium,2,Eelvis,6,4.499,2,1,0.222271616,
Medium,2,Eelvis,7,2.317,2,1,0.431592577,
Medium,2,Eelvis,8,7.252,6,3,0.413678985,
Medium,2,Eelvis,9,15.252,10,5,0.327825859,
Large,1,Eelvis,1,2.62,2,1,0.381679389,
Large,1,Eelvis,2,0.568,2,1,1.76056338,
